한글종목명,해당일종가,현재가,전일대비구분,전일대비,전일대비율,종가 전일대비구분,종가 전일대비,종가 전일대비율,연속일,거래강도,누적거래량,업종구분,매도총호가수량,매도총호가수량,매도1호가,매도1호가,매도 1호가 수량,매도1호가 수량,날짜
씨트리                                  ,5610,5080,2,210,4.31,1,1290,29.86,1,220.52,425579,1,38900,12629,5090,5080,2232,4512,20190405
현대바이오                              ,11800,14550,2,400,2.83,1,2690,29.53,1,389.44,8198168,1,132753,179304,14600,14550,17138,18505,20190405
판타지오                                ,1070,532,5,4,-0.75,1,244,29.54,1,120.55,258489,1,78504,71423,533,532,3840,1296,20190406
현대바이오                              ,15300,14550,2,400,2.83,1,3500,29.66,2,389.44,8198168,1,132753,179304,14600,14550,17138,18505,20190406
현대공업                                ,3965,3175,5,65,-2.01,1,915,30,1,166.61,357435,1,4763,19843,3180,3175,1140,4793,20190406
판타지오                                ,1070,532,5,4,-0.75,1,244,29.54,1,120.55,258489,1,78504,71423,533,532,3840,1296,20190407
현대바이오                              ,15300,14550,2,400,2.83,1,3500,29.66,2,389.44,8198168,1,132753,179304,14600,14550,17138,18505,20190407
현대공업                                ,3965,3175,5,65,-2.01,1,915,30,1,166.61,357435,1,4763,19843,3180,3175,1140,4793,20190407
판타지오                                ,1070,532,5,4,-0.75,1,244,29.54,1,120.55,258489,1,78504,71423,533,532,3840,1296,20190408
현대바이오                              ,15300,14550,2,400,2.83,1,3500,29.66,2,389.44,8198168,1,132753,179304,14600,14550,17138,18505,20190408
현대공업                                ,3965,3175,5,65,-2.01,1,915,30,1,166.61,357435,1,4763,19843,3180,3175,1140,4793,20190408
인트로메딕                              ,6730,6410,2,360,5.95,1,1550,29.92,1,95.32,1176764,1,62219,29716,6420,6410,5155,1570,20190409
전파기지국                              ,3665,3830,5,20,-0.52,1,845,29.96,1,51.32,478793,1,54832,57829,3835,3830,918,4190,20190410
광진윈텍                                ,4290,2945,5,140,-4.54,1,990,30,1,125.25,133784,1,3231,24897,2950,2945,400,1436,20190411
내츄럴엔도텍                            ,9810,5150,5,250,-4.63,1,2260,29.93,1,12.81,1611071,1,13649,41892,5160,5150,1552,4227,20190411
아이엠텍                                ,1310,1075,2,30,2.87,1,300,29.7,1,106.85,372270,1,59637,38430,1075,1070,1665,4808,20190412
모바일리더                              ,17150,22600,2,600,2.73,1,3950,29.92,1,71.78,28876,1,4973,3017,22650,22600,578,1077,20190413
스킨앤스킨                              ,655,327,2,9,2.83,1,151,29.96,1,26.43,312632,1,59056,41853,327,323,5553,4967,20190413
